0	498
1	874
2	380
3	235
4	350
5	719
6	329
7	565
8	418
9	1286
10	526
11	521
12	439
13	328
14	1475
15	707
16	449
17	485
18	429
19	570
20	580
21	704
22	643
23	376
24	665
25	663
26	411
27	510
28	624
29	449
30	486
31	535
32	598
33	427
34	644
35	871
36	904
37	401
38	748
39	654
40	2089
41	339
42	668
43	470
44	377
45	1316
46	353
47	317
48	1870
49	927
50	896
51	705
52	1762
53	2261
54	1649
55	844
56	626
57	413
58	1178
59	1199
60	1183
61	1060
62	1532
63	2249
64	392
65	460
66	2287
67	285
68	697
69	837
70	960
71	913
72	316
73	348
74	1045
75	343
76	1345
77	1062
78	534
79	785
80	1426
81	797
82	293
83	913
84	1353
85	659
86	582
87	664
88	1243
89	334
90	2493
91	763
92	1292
93	309
94	1313
95	401
96	388
97	648
98	622
99	391
